event_id,candidate,event_title,city,state,date,time,lat,lon,status,event_hash
MKD99,BIDEN,US President Joe Biden speaks at a campaign event,Philadelphia,Pennsylvania,2024-04-18,,39.95234,-75.16379,VALID,b64b0b2b-4fbb-4c47-ade9-4d54c0b3a3fe
MJZ76,TRUMP,Donald Trump holds a political rally,Wilmington,North Carolina,2024-04-20,19:00,34.22573,-77.94471,VALID,5b1bfc29-bef3-4b28-88ad-a66edc8918e0
MKX61,BIDEN,President Joe Biden event on his economic agenda,Syracuse,State of New York,2024-04-25,14:00,43.04812,-76.14742,VALID,7c7381f8-aaa6-4447-a3d4-5483d774a12d
MLN01,TRUMP,Donald Trump holds a campaign rally,Waukesha,Wisconsin,2024-05-01,14:00,43.01168,-88.23148,VALID,400b8960-acfb-472b-b105-94febb7a2043
MLN02,TRUMP,Donald Trump holds a campaign rally,"Freeland, Michigan",United States,2024-05-01,18:00,,,CANDIDATE,6508a040-8a8d-455f-9e92-a77063a1265d
MLO89,BIDEN,President Joe Biden delivers remarks on infrastructure and employment,Wilmington,North Carolina,2024-05-02,,34.22573,-77.94471,VALID,2d53703a-dda0-4c6d-bbe3-db9a9a255388
MMD10,BIDEN,President Joe Biden delivers remarks on investment,"Sturtevant, Wisconsin",United States,2024-05-08,12:45,,,CANDIDATE,b7a36996-e19f-424b-8bf9-00d59ccee0b5
MMD21,BIDEN,President Joe Biden participates in a campaign event,Racine,Wisconsin,2024-05-08,13:00,42.72613,-87.78285,VALID,f12f3af5-69c9-4122-a08f-0389b73cfc8f
MMG66,TRUMP,Donald Trump holds presidential election rally,Wildwood,New Jersey,2024-05-11,17:00,38.99178,-74.81489,VALID,94598c25-04f1-434e-a578-3c6fe0f0ccba
MMQ43,BIDEN,President Joe Biden campaigns for presidential election,Atlanta,Georgia,2024-05-18,,33.749,-84.38798,VALID,c2606af7-67e6-40df-bcc4-0387d7c54f45
